objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
nc_001,Main public library building - Detroit,"Gilbert, Cass, 1859-1934, architect",1921,Title from item.,Advertisements; Architectural Photographs; Berry Brothers; Buildings; Carnegie Libraries; Collotypes; Detroit; Detroit Public Library; Hand-Colored; Michigan; Postcards; Public Libraries; Public Relations,"""Detroit, Michigan""",,,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",2014647618,image,Photo; Print; Drawing,eng,No known restrictions on publication.,,image,/objects/nc_001.jpg,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06560_150px.jpg,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06560_150px.jpg,,
nc_002,"The Library of Congress, Washington",Detroit Photographic Co.,1902,Title from item.,"Color; Libraries; Library of Congress Thomas Jefferson Building (Washington, D.C.); Photochrom Prints; United States; Washington (D.C.)","""Washington, D.C.""",,,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",2008678216,image,Photo; Print; Drawing,eng,No known restrictions on publication.,,image,/objects/nc_002.jpg,https://tile.loc.gov/storage-services/service/pnp/ppmsca/18000/18016_150px.jpg,https://tile.loc.gov/storage-services/service/pnp/ppmsca/18000/18016_150px.jpg,,
nc_003.1; nc_003.2; nc_003.3,"Rosa Parks Papers: Miscellany, 1934-2005; Recipe for featherlite pancakes, undated","Parks, Rosa, 1913-2005.",1934-2005,,"African Americans; Civil Rights; Civil Rights Activists; Civil Rights Demonstrations; Civil Rights; Movements; Manuscripts; Montgomery Bus Boycott, Montgomery, Ala.; Race Discrimination; Race Relations; Religion; Segregation; Social Conditions; Southern States; United States",United States,,,Manuscript Division,mss85943.0324,text;image,Manuscript/Mixed Material,eng,Subject to P&P policy on serving originals.,,image,/objects/nc_003.1; /objects/nc_003.2; /objects/nc_003.3,https://tile.loc.gov/image-services/iiif/service:mss:mss85943:0026:06:0003/full/pct:12.5/0/default.jpg,https://tile.loc.gov/image-services/iiif/service:mss:mss85943:0026:06:0003/full/pct:12.5/0/default.jpg,,
nc_004,For greater knowledge on more subjects use your library more often,"Federal Art Project, sponsor",1936,"Poster showing a mortarboard and a pair of glasses superimposed over a globe, promoting use of libraries.",Chicago; Color; Education; Illinois; Libraries; Posters; Screen Prints,"""Chicago; Illinois""",,,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",98508155,image,Photo; Print; Drawing,eng,No known restrictions on publication.,,image,/objects/nc_004.jpg,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183_150px.jpg,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183_150px.jpg,,
